amfi_code,alpha,beta
100016,0.0628,-0.0
100025,0.0466,-0.0
100033,0.1759,0.0
101206,0.0279,0.0
101207,0.4254,-0.0
101208,0.0621,-0.0
102885,0.1234,0.0
102886,0.1715,-0.0
102887,-0.0073,0.0
118632,0.2705,-0.0
118633,0.0585,0.0
118634,0.2416,-0.0
118635,0.072,0.0
118636,0.0439,0.0
119092,0.1644,-0.0
119093,-0.0947,0.0
119094,0.1993,0.0
119095,0.4646,-0.0
119120,0.0729,-0.0
119551,0.0002,0.0
119552,0.3013,-0.0
119598,0.347,-0.0
119599,0.1367,-0.0
120503,0.2874,-0.0
120504,0.214,-0.0
120505,0.3813,-0.0
120506,0.0878,0.0
120507,0.0657,0.0
120841,0.0738,0.0
120842,-0.0003,0.0
120843,0.2731,-0.0
120844,0.0677,-0.0
125497,0.1144,0.0
125498,0.0073,0.0
148567,0.2671,0.0
148568,0.3135,-0.0
148569,0.2655,0.0
149322,0.0428,0.0
149323,0.2806,-0.0
149324,0.1829,0.0
