amfi_code,cagr_pct,sharpe_ratio,alpha,max_drawdown_pct,score
120505,32.8,1.1801,0.3813,-18.19,87.125
119598,32.4,0.9453,0.347,-28.71,87.125
149324,32.26,0.9498,0.1829,-31.17,81.625
148569,31.92,1.2349,0.2655,-16.4,79.125
149323,29.56,1.1321,0.2806,-17.25,76.875
120843,30.88,1.3067,0.2731,-12.97,74.75
119094,28.19,0.9982,0.1993,-20.96,73.25
118632,24.03,1.0817,0.2705,-17.41,73.0
148567,30.95,1.4483,0.2671,-11.27,72.0
100033,30.1,1.0937,0.1759,-16.22,71.25
148568,22.5,0.9263,0.3135,-15.27,66.375
119552,21.51,0.9533,0.3013,-11.8,62.0
101207,7.93,0.1627,0.4254,-35.45,61.875
120504,23.28,1.0265,0.214,-12.59,61.375
119551,25.78,1.2083,0.0002,-15.01,59.0
120503,18.77,0.798,0.2874,-13.9,58.75
118634,16.36,0.4484,0.2416,-23.34,58.375
120506,17.07,0.6489,0.0878,-19.83,55.5
125497,19.0,0.7758,0.1144,-15.2,53.875
119095,1.52,-0.076,0.4646,-51.68,50.875
101206,23.52,1.0272,0.0279,-11.29,50.375
118633,16.26,0.6452,0.0585,-18.63,48.0
102887,16.83,0.6195,-0.0073,-21.54,47.375
102885,18.22,0.8171,0.1234,-10.86,47.25
120841,13.52,0.4943,0.0738,-17.57,46.875
119599,2.05,-0.0572,0.1367,-52.57,43.375
118635,15.95,0.6649,0.072,-11.65,41.0
125498,11.29,0.3006,0.0073,-21.12,40.625
102886,1.17,-0.2058,0.1715,-28.0,37.25
119093,7.89,0.1296,-0.0947,-21.75,37.125
120842,6.7,0.076,-0.0003,-24.0,36.5
149322,13.38,0.464,0.0428,-14.84,35.5
100016,2.64,-0.2015,0.0628,-24.73,34.0
119092,6.36,0.0308,0.1644,-14.4,32.625
120507,7.23,0.4957,0.0657,-0.1,27.375
120844,6.91,-0.0887,0.0677,-0.12,20.875
119120,5.89,-0.2266,0.0729,-4.33,18.875
101208,6.5,-0.8156,0.0621,-0.16,14.75
118636,5.31,-0.3566,0.0439,-8.32,14.125
100025,4.46,-0.5671,0.0466,-4.31,12.0
