amfi_code,VaR_95,CVaR_95
100016,-0.0144,-0.0181
100025,-0.0038,-0.005
100033,-0.019,-0.0235
101206,-0.0133,-0.0174
101207,-0.026,-0.0325
101208,-0.0003,-0.0004
102885,-0.0126,-0.0155
102886,-0.0192,-0.0233
102887,-0.0152,-0.0194
118632,-0.014,-0.0176
118633,-0.0134,-0.0166
118634,-0.0254,-0.0323
118635,-0.0126,-0.0162
118636,-0.0038,-0.0049
119092,-0.0137,-0.0173
119093,-0.0142,-0.0175
119094,-0.0185,-0.0243
119095,-0.0262,-0.0317
119120,-0.0039,-0.005
119551,-0.0128,-0.0164
119552,-0.0135,-0.0173
119598,-0.0245,-0.0306
119599,-0.0269,-0.0324
120503,-0.0136,-0.0175
120504,-0.0137,-0.0175
120505,-0.0189,-0.0243
120506,-0.0144,-0.0194
120507,-0.0002,-0.0004
120841,-0.0131,-0.0164
120842,-0.0182,-0.0227
120843,-0.0145,-0.0184
120844,-0.0003,-0.0004
125497,-0.0146,-0.0183
125498,-0.0184,-0.0231
148567,-0.0136,-0.0176
148568,-0.0147,-0.0188
148569,-0.0171,-0.0213
149322,-0.0145,-0.0184
149323,-0.0179,-0.0226
149324,-0.0235,-0.031
